,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,56,26,.683,—,111.5,105.7,5.22,1991,Boston Celtics*
1,44,38,.537,12.0,105.4,105.6,-0.39,1991,Philadelphia 76ers*
2,39,43,.476,17.0,103.1,103.3,-0.43,1991,New York Knicks*
3,30,52,.366,26.0,101.4,106.4,-4.84,1991,Washington Bullets
4,26,56,.317,30.0,102.9,107.5,-4.53,1991,New Jersey Nets
5,24,58,.293,32.0,101.8,107.8,-5.91,1991,Miami Heat
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1991,Central Division
7,61,21,.744,—,110.0,101.0,8.57,1991,Chicago Bulls*
8,50,32,.610,11.0,100.1,96.8,3.08,1991,Detroit Pistons*
9,48,34,.585,13.0,106.4,104.0,2.33,1991,Milwaukee Bucks*
10,43,39,.524,18.0,109.8,109.0,0.72,1991,Atlanta Hawks*
11,41,41,.500,20.0,111.7,112.1,-0.37,1991,Indiana Pacers*
12,33,49,.402,28.0,101.7,104.2,-2.33,1991,Cleveland Cavaliers
13,26,56,.317,35.0,102.8,108.0,-4.95,1991,Charlotte Hornets
0,49,23,.681,—,113.6,108.1,5.28,2021,Philadelphia 76ers*
1,48,24,.667,1.0,118.6,114.1,4.24,2021,Brooklyn Nets*
2,41,31,.569,8.0,107.0,104.7,2.13,2021,New York Knicks*
3,36,36,.500,13.0,112.6,111.2,1.32,2021,Boston Celtics*
4,27,45,.375,22.0,111.3,111.7,-0.54,2021,Toronto Raptors
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2021,Central Division
6,46,26,.639,—,120.1,114.2,5.57,2021,Milwaukee Bucks*
7,34,38,.472,12.0,115.3,115.3,-0.13,2021,Indiana Pacers
8,31,41,.431,15.0,110.7,111.6,-0.94,2021,Chicago Bulls
9,22,50,.306,24.0,103.8,112.3,-8.19,2021,Cleveland Cavaliers
10,20,52,.278,26.0,106.6,111.1,-4.38,2021,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2021,Southeast Division
12,41,31,.569,—,113.7,111.4,2.14,2021,Atlanta Hawks*
13,40,32,.556,1.0,108.1,108.0,-0.06,2021,Miami Heat*
14,34,38,.472,7.0,116.6,118.5,-1.85,2021,Washington Wizards*
15,33,39,.458,8.0,109.5,111.4,-1.94,2021,Charlotte Hornets
16,21,51,.292,20.0,104.0,113.3,-9.02,2021,Orlando Magic
